Ligand,Score
CHEMBL3039567_preprocessed_conf6_out.sdf,-2.114
CHEMBL490665_preprocessed_conf4_out.sdf,-4.02
CHEMBL1671_preprocessed_conf5_out.sdf,-3.608
CHEMBL460_preprocessed_conf0_out.sdf,-3.01
CHEMBL945_preprocessed_conf4_out.sdf,-2.795
CHEMBL584_preprocessed_conf7_out.sdf,-4.21
CHEMBL178_preprocessed_conf7_out.sdf,-4.457
CHEMBL1364551_preprocessed_conf2_out.sdf,-3.619
CHEMBL617_preprocessed_conf7_out.sdf,-3.407
CHEMBL1455497_preprocessed_conf8_out.sdf,-2.125
CHEMBL1094966_preprocessed_conf7_out.sdf,-3.297
CHEMBL46058_preprocessed_conf0_out.sdf,-1.79
CHEMBL110_preprocessed_conf5_out.sdf,-3.381
CHEMBL2105904_preprocessed_conf7_out.sdf,-2.985
CHEMBL4297610_preprocessed_conf7_out.sdf,-4.078
CHEMBL2023898_preprocessed_conf6_out.sdf,-3.8
CHEMBL1410743_preprocessed_conf1_out.sdf,-2.866
CHEMBL1898387_preprocessed_conf7_out.sdf,-3.601
CHEMBL1201065_preprocessed_conf3_out.sdf,-3.395
CHEMBL285802_preprocessed_conf4_out.sdf,-4.292
CHEMBL1275_preprocessed_conf0_out.sdf,-3.735
CHEMBL395110_preprocessed_conf3_out.sdf,-3.472
CHEMBL3545060_preprocessed_conf3_out.sdf,-3.335
CHEMBL1788403_preprocessed_conf2_out.sdf,-3.659
CHEMBL167731_preprocessed_conf6_out.sdf,-3.609
CHEMBL1079742_preprocessed_conf9_out.sdf,-4.054
CHEMBL80_preprocessed_conf8_out.sdf,-3.443
CHEMBL453514_preprocessed_conf2_out.sdf,-3.701
CHEMBL606_preprocessed_conf5_out.sdf,-3.766
CHEMBL3707320_preprocessed_conf0_out.sdf,-3.994
CHEMBL188921_preprocessed_conf5_out.sdf,-3.129
CHEMBL796_preprocessed_conf3_out.sdf,-3.487
CHEMBL2107560_preprocessed_conf0_out.sdf,-1.598
CHEMBL2104793_preprocessed_conf8_out.sdf,-3.84
CHEMBL1395_preprocessed_conf4_out.sdf,-3.759
CHEMBL254857_preprocessed_conf7_out.sdf,-3.563
CHEMBL1323_preprocessed_conf2_out.sdf,-4.142
CHEMBL1201284_preprocessed_conf4_out.sdf,-4.281
CHEMBL1202_preprocessed_conf1_out.sdf,-3.393
CHEMBL2107355_preprocessed_conf0_out.sdf,-2.133
CHEMBL1089318_preprocessed_conf9_out.sdf,-3.679
CHEMBL396778_preprocessed_conf5_out.sdf,-3.868
CHEMBL64391_preprocessed_conf9_out.sdf,-3.525
CHEMBL26_preprocessed_conf6_out.sdf,-3.08
CHEMBL1447476_preprocessed_conf3_out.sdf,-3.873
CHEMBL1200492_preprocessed_conf8_out.sdf,-3.848
CHEMBL1563_preprocessed_conf2_out.sdf,-3.768
CHEMBL896_preprocessed_conf7_out.sdf,-3.882
CHEMBL723_preprocessed_conf2_out.sdf,-4.123
CHEMBL139_preprocessed_conf9_out.sdf,-3.219
CHEMBL3989887_preprocessed_conf8_out.sdf,-3.8
CHEMBL1201118_preprocessed_conf2_out.sdf,-2.683
CHEMBL985_preprocessed_conf1_out.sdf,-1.805
CHEMBL567_preprocessed_conf0_out.sdf,-3.578
CHEMBL1200925_preprocessed_conf1_out.sdf,-1.599
CHEMBL159_preprocessed_conf6_out.sdf,-4.634
CHEMBL254857_preprocessed_conf6_out.sdf,-3.727
CHEMBL1200701_preprocessed_conf3_out.sdf,-3.5
CHEMBL1523964_preprocessed_conf0_out.sdf,-2.823
CHEMBL1648_preprocessed_conf7_out.sdf,-3.291
CHEMBL62193_preprocessed_conf5_out.sdf,-3.172
CHEMBL1294_preprocessed_conf6_out.sdf,-3.631
CHEMBL1689063_preprocessed_conf1_out.sdf,-2.576
CHEMBL3137321_preprocessed_conf5_out.sdf,-4.691
CHEMBL409_preprocessed_conf0_out.sdf,-4.652
CHEMBL1187833_preprocessed_conf0_out.sdf,-3.932
CHEMBL376140_preprocessed_conf2_out.sdf,-3.848
CHEMBL3137312_preprocessed_conf8_out.sdf,-4.392
CHEMBL363295_preprocessed_conf3_out.sdf,-3.761
CHEMBL3039520_preprocessed_conf1_out.sdf,-4.136
CHEMBL680_preprocessed_conf6_out.sdf,-3.653
CHEMBL4298137_preprocessed_conf6_out.sdf,-2.669
CHEMBL1200836_preprocessed_conf1_out.sdf,-4.183
CHEMBL1200675_preprocessed_conf5_out.sdf,-4.037
CHEMBL177_preprocessed_conf0_out.sdf,-3.576
CHEMBL1626223_preprocessed_conf2_out.sdf,-2.776
CHEMBL1200809_preprocessed_conf3_out.sdf,-4.363
CHEMBL1451116_preprocessed_conf7_out.sdf,-1.652
CHEMBL363392_preprocessed_conf6_out.sdf,-3.891
CHEMBL175247_preprocessed_conf0_out.sdf,-4.184
CHEMBL2219414_preprocessed_conf8_out.sdf,-4.57
CHEMBL3989716_preprocessed_conf9_out.sdf,-3.537
CHEMBL797_preprocessed_conf1_out.sdf,-3.466
CHEMBL46740_preprocessed_conf8_out.sdf,-4.45
CHEMBL1200448_preprocessed_conf6_out.sdf,-2.959
CHEMBL1213165_preprocessed_conf6_out.sdf,-3.95
CHEMBL1200409_preprocessed_conf6_out.sdf,-2.993
CHEMBL105_preprocessed_conf7_out.sdf,-3.595
CHEMBL1201242_preprocessed_conf2_out.sdf,-4.417
CHEMBL109_preprocessed_conf0_out.sdf,-2.895
CHEMBL1201042_preprocessed_conf3_out.sdf,-2.02
CHEMBL1559_preprocessed_conf2_out.sdf,-3.844
CHEMBL1133_preprocessed_conf2_out.sdf,-3.711
CHEMBL1651998_preprocessed_conf4_out.sdf,-2.557
CHEMBL186314_preprocessed_conf3_out.sdf,-1.753
CHEMBL1584_preprocessed_conf5_out.sdf,-3.459
CHEMBL2216870_preprocessed_conf6_out.sdf,-3.859
CHEMBL976_preprocessed_conf6_out.sdf,-3.682
CHEMBL3786343_preprocessed_conf7_out.sdf,-3.822
CHEMBL1201317_preprocessed_conf7_out.sdf,-2.489
CHEMBL94454_preprocessed_conf2_out.sdf,-3.828
CHEMBL1371770_preprocessed_conf2_out.sdf,-3.578
CHEMBL107_preprocessed_conf0_out.sdf,-3.65
CHEMBL255044_preprocessed_conf2_out.sdf,-3.746
CHEMBL1389_preprocessed_conf9_out.sdf,-4.19
CHEMBL1611_preprocessed_conf8_out.sdf,-3.756
CHEMBL38_preprocessed_conf9_out.sdf,-3.961
CHEMBL1713_preprocessed_conf5_out.sdf,-3.755
CHEMBL1201288_preprocessed_conf3_out.sdf,-3.771
CHEMBL83063_preprocessed_conf7_out.sdf,-3.306
CHEMBL1200757_preprocessed_conf9_out.sdf,-4.368
CHEMBL1235452_preprocessed_conf5_out.sdf,-1.547
CHEMBL1751_preprocessed_conf8_out.sdf,-3.361
CHEMBL2062163_preprocessed_conf4_out.sdf,-3.105
CHEMBL3544909_preprocessed_conf5_out.sdf,-4.437
CHEMBL566752_preprocessed_conf7_out.sdf,-3.515
CHEMBL1201321_preprocessed_conf3_out.sdf,-4.319
CHEMBL114_preprocessed_conf1_out.sdf,-4.067
CHEMBL1888176_preprocessed_conf5_out.sdf,-3.784
CHEMBL934_preprocessed_conf9_out.sdf,-3.121
CHEMBL1698_preprocessed_conf7_out.sdf,-3.469
CHEMBL185073_preprocessed_conf9_out.sdf,-3.583
CHEMBL634_preprocessed_conf5_out.sdf,-3.579
CHEMBL863_preprocessed_conf3_out.sdf,-1.941
CHEMBL1200478_preprocessed_conf2_out.sdf,-3.532
CHEMBL1626223_preprocessed_conf0_out.sdf,-3.01
CHEMBL451887_preprocessed_conf4_out.sdf,-3.939
CHEMBL4297620_preprocessed_conf3_out.sdf,-3.122
CHEMBL1200861_preprocessed_conf3_out.sdf,-2.211
CHEMBL2003538_preprocessed_conf5_out.sdf,-3.477
CHEMBL1201864_preprocessed_conf2_out.sdf,-4.289
CHEMBL1017_preprocessed_conf3_out.sdf,-4.923
CHEMBL1256137_preprocessed_conf1_out.sdf,-1.67
CHEMBL1200584_preprocessed_conf4_out.sdf,-2.825
CHEMBL1200483_preprocessed_conf9_out.sdf,-3.261
CHEMBL15870_preprocessed_conf5_out.sdf,-3.829
CHEMBL1200598_preprocessed_conf4_out.sdf,-3.723
