Ligand,Score
CHEMBL1671_preprocessed_conf5_out.sdf,-3.913
CHEMBL460_preprocessed_conf0_out.sdf,-3.741
CHEMBL945_preprocessed_conf4_out.sdf,-2.616
CHEMBL584_preprocessed_conf7_out.sdf,-4.214
CHEMBL178_preprocessed_conf7_out.sdf,-3.929
CHEMBL1364551_preprocessed_conf2_out.sdf,-4.099
CHEMBL617_preprocessed_conf7_out.sdf,-3.248
CHEMBL1455497_preprocessed_conf8_out.sdf,-2.599
CHEMBL1094966_preprocessed_conf7_out.sdf,-3.619
CHEMBL46058_preprocessed_conf0_out.sdf,-1.95
CHEMBL110_preprocessed_conf5_out.sdf,-3.666
CHEMBL2105904_preprocessed_conf7_out.sdf,-2.986
CHEMBL4297610_preprocessed_conf7_out.sdf,-4.73
CHEMBL2023898_preprocessed_conf6_out.sdf,4524816.0
CHEMBL1410743_preprocessed_conf1_out.sdf,-2.727
CHEMBL1898387_preprocessed_conf7_out.sdf,-4.614
CHEMBL1201065_preprocessed_conf3_out.sdf,-3.577
CHEMBL285802_preprocessed_conf4_out.sdf,-3.997
CHEMBL1275_preprocessed_conf0_out.sdf,-4.155
CHEMBL395110_preprocessed_conf3_out.sdf,-4.092
CHEMBL1788403_preprocessed_conf2_out.sdf,-4.276
CHEMBL167731_preprocessed_conf6_out.sdf,-3.758
CHEMBL1079742_preprocessed_conf9_out.sdf,-3.947
CHEMBL80_preprocessed_conf8_out.sdf,-4.274
CHEMBL453514_preprocessed_conf2_out.sdf,1.867
CHEMBL606_preprocessed_conf5_out.sdf,-3.644
CHEMBL3707320_preprocessed_conf0_out.sdf,-3.994
CHEMBL188921_preprocessed_conf5_out.sdf,-3.747
CHEMBL796_preprocessed_conf3_out.sdf,-3.904
CHEMBL2107560_preprocessed_conf0_out.sdf,-1.688
CHEMBL2104793_preprocessed_conf8_out.sdf,-4.34
CHEMBL1395_preprocessed_conf4_out.sdf,-4.628
CHEMBL254857_preprocessed_conf7_out.sdf,-3.684
CHEMBL1323_preprocessed_conf2_out.sdf,-2.901
CHEMBL1201284_preprocessed_conf4_out.sdf,-5.042
CHEMBL1495_preprocessed_conf3_out.sdf,-4.525
CHEMBL1202_preprocessed_conf1_out.sdf,-4.051
CHEMBL2107355_preprocessed_conf0_out.sdf,-2.196
CHEMBL1089318_preprocessed_conf9_out.sdf,-3.972
CHEMBL396778_preprocessed_conf5_out.sdf,-4.311
CHEMBL64391_preprocessed_conf9_out.sdf,7243716.0
CHEMBL26_preprocessed_conf6_out.sdf,-3.264
CHEMBL1447476_preprocessed_conf3_out.sdf,-3.511
CHEMBL1200492_preprocessed_conf8_out.sdf,-3.843
CHEMBL1563_preprocessed_conf2_out.sdf,-3.667
CHEMBL896_preprocessed_conf7_out.sdf,-4.726
CHEMBL139_preprocessed_conf9_out.sdf,-4.168
CHEMBL3301668_preprocessed_conf3_out.sdf,5341240.0
CHEMBL1201118_preprocessed_conf2_out.sdf,-2.621
CHEMBL1506_preprocessed_conf6_out.sdf,-2.731
CHEMBL985_preprocessed_conf1_out.sdf,-1.751
CHEMBL567_preprocessed_conf0_out.sdf,-3.75
CHEMBL1200925_preprocessed_conf1_out.sdf,-1.687
CHEMBL159_preprocessed_conf6_out.sdf,-3.465
CHEMBL254857_preprocessed_conf6_out.sdf,-3.552
CHEMBL1200701_preprocessed_conf3_out.sdf,-3.332
CHEMBL1523964_preprocessed_conf0_out.sdf,-3.52
CHEMBL1648_preprocessed_conf7_out.sdf,-3.386
CHEMBL62193_preprocessed_conf5_out.sdf,-3.26
CHEMBL1294_preprocessed_conf6_out.sdf,-4.641
CHEMBL1689063_preprocessed_conf1_out.sdf,-3.079
CHEMBL3137321_preprocessed_conf5_out.sdf,-4.578
CHEMBL409_preprocessed_conf0_out.sdf,-3.845
CHEMBL1187833_preprocessed_conf0_out.sdf,-4.95
CHEMBL3137312_preprocessed_conf8_out.sdf,-4.238
CHEMBL363295_preprocessed_conf3_out.sdf,-5.12
CHEMBL3039520_preprocessed_conf1_out.sdf,-4.153
CHEMBL680_preprocessed_conf6_out.sdf,-3.732
CHEMBL4298137_preprocessed_conf6_out.sdf,-2.928
CHEMBL1200836_preprocessed_conf1_out.sdf,-3.72
CHEMBL1200675_preprocessed_conf5_out.sdf,-4.322
CHEMBL177_preprocessed_conf0_out.sdf,-3.499
CHEMBL1626223_preprocessed_conf2_out.sdf,-3.247
CHEMBL1200809_preprocessed_conf3_out.sdf,-4.594
CHEMBL1451116_preprocessed_conf7_out.sdf,-1.875
CHEMBL363392_preprocessed_conf6_out.sdf,-1.092
CHEMBL2219414_preprocessed_conf8_out.sdf,-3.371
CHEMBL3989716_preprocessed_conf9_out.sdf,-3.681
CHEMBL797_preprocessed_conf1_out.sdf,-4.074
CHEMBL46740_preprocessed_conf8_out.sdf,-4.093
CHEMBL1200448_preprocessed_conf6_out.sdf,-3.174
CHEMBL1213165_preprocessed_conf6_out.sdf,-3.546
CHEMBL1200409_preprocessed_conf6_out.sdf,-3.919
CHEMBL105_preprocessed_conf7_out.sdf,-3.291
CHEMBL1201242_preprocessed_conf2_out.sdf,-4.767
CHEMBL109_preprocessed_conf0_out.sdf,-3.753
CHEMBL1201042_preprocessed_conf3_out.sdf,-2.275
CHEMBL1559_preprocessed_conf2_out.sdf,-3.581
CHEMBL1133_preprocessed_conf2_out.sdf,-3.936
CHEMBL1651998_preprocessed_conf4_out.sdf,-3.589
CHEMBL186314_preprocessed_conf3_out.sdf,-1.72
CHEMBL1584_preprocessed_conf5_out.sdf,-3.884
CHEMBL2216870_preprocessed_conf6_out.sdf,-3.947
CHEMBL976_preprocessed_conf6_out.sdf,-4.272
CHEMBL3786343_preprocessed_conf7_out.sdf,-2.106
CHEMBL2364617_preprocessed_conf2_out.sdf,-3.737
CHEMBL1201317_preprocessed_conf7_out.sdf,-2.589
CHEMBL94454_preprocessed_conf2_out.sdf,-5.334
CHEMBL1371770_preprocessed_conf2_out.sdf,-3.551
CHEMBL107_preprocessed_conf0_out.sdf,-4.231
CHEMBL255044_preprocessed_conf2_out.sdf,-4.351
CHEMBL1389_preprocessed_conf9_out.sdf,-4.577
CHEMBL1611_preprocessed_conf8_out.sdf,-4.338
CHEMBL38_preprocessed_conf9_out.sdf,-4.326
CHEMBL1713_preprocessed_conf5_out.sdf,-3.797
CHEMBL1201288_preprocessed_conf3_out.sdf,-3.82
CHEMBL83063_preprocessed_conf7_out.sdf,-3.335
CHEMBL1200757_preprocessed_conf9_out.sdf,-3.582
CHEMBL1235452_preprocessed_conf5_out.sdf,-1.551
CHEMBL2062163_preprocessed_conf4_out.sdf,-3.856
CHEMBL3544909_preprocessed_conf5_out.sdf,-4.256
CHEMBL566752_preprocessed_conf7_out.sdf,-3.552
CHEMBL1201321_preprocessed_conf3_out.sdf,-5.524
CHEMBL114_preprocessed_conf1_out.sdf,-3.406
CHEMBL1888176_preprocessed_conf5_out.sdf,-4.29
CHEMBL934_preprocessed_conf9_out.sdf,-4.424
CHEMBL1698_preprocessed_conf7_out.sdf,-3.637
CHEMBL185073_preprocessed_conf9_out.sdf,-3.18
CHEMBL634_preprocessed_conf5_out.sdf,-3.084
CHEMBL863_preprocessed_conf3_out.sdf,-2.097
CHEMBL1200478_preprocessed_conf2_out.sdf,-3.537
CHEMBL1626223_preprocessed_conf0_out.sdf,-3.384
CHEMBL4297620_preprocessed_conf3_out.sdf,-3.561
CHEMBL1200861_preprocessed_conf3_out.sdf,-2.394
CHEMBL2003538_preprocessed_conf5_out.sdf,-3.286
CHEMBL1201864_preprocessed_conf2_out.sdf,-4.354
CHEMBL1017_preprocessed_conf3_out.sdf,-4.768
CHEMBL2105669_preprocessed_conf8_out.sdf,-2.407
