Ligand,Score
CHEMBL3707330_preprocessed_conf9_out.sdf,-5.17
CHEMBL3039567_preprocessed_conf6_out.sdf,-3.109
CHEMBL490665_preprocessed_conf4_out.sdf,-4.309
CHEMBL1671_preprocessed_conf5_out.sdf,-4.389
CHEMBL460_preprocessed_conf0_out.sdf,-4.287
CHEMBL945_preprocessed_conf4_out.sdf,-4.048
CHEMBL584_preprocessed_conf7_out.sdf,-4.584
CHEMBL178_preprocessed_conf7_out.sdf,-4.859
CHEMBL1364551_preprocessed_conf2_out.sdf,-7.24
CHEMBL617_preprocessed_conf7_out.sdf,-3.992
CHEMBL1455497_preprocessed_conf8_out.sdf,-3.096
CHEMBL1094966_preprocessed_conf7_out.sdf,-3.879
CHEMBL46058_preprocessed_conf0_out.sdf,-2.469
CHEMBL110_preprocessed_conf5_out.sdf,-4.297
CHEMBL2105904_preprocessed_conf7_out.sdf,-3.452
CHEMBL4297610_preprocessed_conf7_out.sdf,-4.665
CHEMBL2023898_preprocessed_conf6_out.sdf,-3.368
CHEMBL1410743_preprocessed_conf1_out.sdf,-3.159
CHEMBL1898387_preprocessed_conf7_out.sdf,-3.981
CHEMBL1201065_preprocessed_conf3_out.sdf,-3.248
CHEMBL285802_preprocessed_conf4_out.sdf,-5.573
CHEMBL1275_preprocessed_conf0_out.sdf,-4.78
CHEMBL395110_preprocessed_conf3_out.sdf,-4.197
CHEMBL3545060_preprocessed_conf3_out.sdf,-4.086
CHEMBL1788403_preprocessed_conf2_out.sdf,-3.783
CHEMBL167731_preprocessed_conf6_out.sdf,-4.957
CHEMBL1079742_preprocessed_conf9_out.sdf,-4.57
CHEMBL80_preprocessed_conf8_out.sdf,-4.935
CHEMBL453514_preprocessed_conf2_out.sdf,-3.289
CHEMBL606_preprocessed_conf5_out.sdf,-4.849
CHEMBL3707320_preprocessed_conf0_out.sdf,-5.324
CHEMBL188921_preprocessed_conf5_out.sdf,-3.832
CHEMBL796_preprocessed_conf3_out.sdf,-4.352
CHEMBL2107560_preprocessed_conf0_out.sdf,-2.878
CHEMBL2104793_preprocessed_conf8_out.sdf,-4.71
CHEMBL1395_preprocessed_conf4_out.sdf,-4.312
CHEMBL254857_preprocessed_conf7_out.sdf,-4.53
CHEMBL1323_preprocessed_conf2_out.sdf,-4.396
CHEMBL1201284_preprocessed_conf4_out.sdf,-5.903
CHEMBL1495_preprocessed_conf3_out.sdf,-4.795
CHEMBL1202_preprocessed_conf1_out.sdf,-4.721
CHEMBL2107355_preprocessed_conf0_out.sdf,-3.446
CHEMBL1089318_preprocessed_conf9_out.sdf,-4.935
CHEMBL396778_preprocessed_conf5_out.sdf,-5.006
CHEMBL64391_preprocessed_conf9_out.sdf,-2.899
CHEMBL26_preprocessed_conf6_out.sdf,-4.396
CHEMBL1447476_preprocessed_conf3_out.sdf,-3.507
CHEMBL1200492_preprocessed_conf8_out.sdf,-5.244
CHEMBL1563_preprocessed_conf2_out.sdf,-5.36
CHEMBL896_preprocessed_conf7_out.sdf,-4.789
CHEMBL723_preprocessed_conf2_out.sdf,-4.635
CHEMBL139_preprocessed_conf9_out.sdf,-3.924
